payment_id,client_id,account_id,payment_date,direction,payment_type,currency,amount,counterparty_country,status
PAY-00000067,CLIENT-0262,ACC-000785,2024-07-11,OUTBOUND,SWIFT,USD,4972.01,IE,SETTLED
PAY-00000068,CLIENT-0426,ACC-001257,2025-05-27,OUTBOUND,ACH,AUD,237960.51,AE,SETTLED
PAY-00000069,CLIENT-0092,ACC-000260,2026-05-09,OUTBOUND,FX_TRANSFER,AUD,63440.90,JP,SETTLED
PAY-00000070,CLIENT-0262,ACC-000785,2025-02-17,OUTBOUND,SWIFT,USD,10110.35,IN,PENDING
PAY-00000071,CLIENT-0284,ACC-000841,2026-02-26,INBOUND,FX_TRANSFER,USD,240954.77,FR,SETTLED
PAY-00000072,CLIENT-0063,ACC-000174,2024-11-29,OUTBOUND,SWIFT,SGD,647.32,US,SETTLED
PAY-00000073,CLIENT-0122,ACC-000362,2026-02-23,INBOUND,FX_TRANSFER,USD,158493.01,MX,SETTLED
PAY-00000074,CLIENT-0110,ACC-000320,2026-05-28,INBOUND,BOOK_TRANSFER,CAD,13223.54,BR,SETTLED
PAY-00000075,CLIENT-0011,ACC-000024,2025-09-20,OUTBOUND,FX_TRANSFER,USD,4599.07,US,SETTLED
PAY-00000076,CLIENT-0030,ACC-000079,2026-07-01,OUTBOUND,BOOK_TRANSFER,EUR,238049.46,AU,SETTLED
PAY-00000077,CLIENT-0290,ACC-000858,2025-08-06,OUTBOUND,SEPA,EUR,1687.78,DE,SETTLED
PAY-00000078,CLIENT-0073,ACC-000204,2025-04-30,OUTBOUND,WIRE,USD,11082.74,BR,SETTLED
PAY-00000079,CLIENT-0477,ACC-001412,2026-07-24,INBOUND,BOOK_TRANSFER,USD,2287.98,CA,SETTLED
PAY-00000080,CLIENT-0388,ACC-001126,2025-02-12,INBOUND,CARD,EUR,118679.95,AU,SETTLED
PAY-00000081,CLIENT-0369,ACC-001078,2024-05-13,OUTBOUND,FX_TRANSFER,USD,185409.17,MX,SETTLED
PAY-00000082,CLIENT-0273,ACC-000817,2025-10-25,INBOUND,SWIFT,USD,13430.34,US,PENDING
PAY-00000083,CLIENT-0183,ACC-000550,2026-05-29,INBOUND,SWIFT,USD,10370.07,BR,SETTLED
PAY-00000084,CLIENT-0338,ACC-000986,2025-03-20,OUTBOUND,REAL_TIME_PAYMENT,USD,2489.74,CH,SETTLED
PAY-00000085,CLIENT-0263,ACC-000789,2024-12-23,INBOUND,BOOK_TRANSFER,USD,3412.69,NL,SETTLED
PAY-00000086,CLIENT-0017,ACC-000043,2026-03-30,OUTBOUND,SWIFT,CAD,11487.53,IN,SETTLED
PAY-00000087,CLIENT-0233,ACC-000697,2025-02-08,INBOUND,CARD,USD,147209.97,MX,SETTLED
PAY-00000088,CLIENT-0111,ACC-000322,2025-08-21,OUTBOUND,WIRE,USD,100.68,JP,SETTLED
PAY-00000089,CLIENT-0122,ACC-000361,2025-01-07,INBOUND,SEPA,USD,62403.99,US,SETTLED
PAY-00000090,CLIENT-0285,ACC-000844,2024-03-22,INBOUND,BOOK_TRANSFER,EUR,9154.63,AU,PENDING
PAY-00000091,CLIENT-0413,ACC-001219,2024-11-05,INBOUND,BOOK_TRANSFER,GBP,45009.78,IE,SETTLED
PAY-00000092,CLIENT-0454,ACC-001340,2025-04-22,INBOUND,WIRE,USD,86760.99,DE,SETTLED
PAY-00000093,CLIENT-0218,ACC-000650,2025-07-17,OUTBOUND,FX_TRANSFER,USD,94738.20,CA,SETTLED
PAY-00000094,CLIENT-0296,ACC-000873,2025-06-20,INBOUND,WIRE,EUR,69929.21,US,SETTLED
PAY-00000095,CLIENT-0059,ACC-000163,2026-07-16,OUTBOUND,ACH,MXN,223022.57,JP,SETTLED
PAY-00000096,CLIENT-0262,ACC-000786,2026-06-09,INBOUND,REAL_TIME_PAYMENT,USD,5648.69,SG,SETTLED
PAY-00000097,CLIENT-0159,ACC-000481,2025-03-31,OUTBOUND,REAL_TIME_PAYMENT,USD,149265.06,AE,SETTLED
PAY-00000098,CLIENT-0025,ACC-000069,2025-03-01,OUTBOUND,SEPA,USD,66282.54,IN,SETTLED
PAY-00000099,CLIENT-0077,ACC-000216,2024-08-24,OUTBOUND,REAL_TIME_PAYMENT,EUR,7048.63,CA,SETTLED
PAY-00000100,CLIENT-0074,ACC-000207,2026-02-18,OUTBOUND,BOOK_TRANSFER,AED,37642.17,AU,SETTLED
PAY-00000101,CLIENT-0359,ACC-001054,2025-04-07,INBOUND,SEPA,USD,224616.07,IE,SETTLED
PAY-00000102,CLIENT-0478,ACC-001414,2026-05-22,OUTBOUND,SWIFT,CAD,239919.42,GB,SETTLED
PAY-00000103,CLIENT-0438,ACC-001295,2026-07-18,INBOUND,SEPA,USD,89146.53,AU,SETTLED
PAY-00000104,CLIENT-0063,ACC-000174,2024-07-18,OUTBOUND,ACH,SGD,3228.83,NL,SETTLED
PAY-00000105,CLIENT-0411,ACC-001209,2026-06-14,INBOUND,SEPA,USD,49519.29,AE,SETTLED
PAY-00000106,CLIENT-0493,ACC-001471,2024-09-22,OUTBOUND,CARD,USD,12538.13,FR,SETTLED
PAY-00000107,CLIENT-0084,ACC-000235,2026-06-10,OUTBOUND,SWIFT,SGD,125507.35,JP,SETTLED
PAY-00000108,CLIENT-0156,ACC-000472,2026-03-27,INBOUND,SEPA,USD,187632.03,CA,SETTLED
PAY-00000109,CLIENT-0231,ACC-000691,2024-03-19,INBOUND,REAL_TIME_PAYMENT,USD,146478.42,IE,SETTLED
PAY-00000110,CLIENT-0406,ACC-001194,2025-12-31,INBOUND,WIRE,EUR,107680.59,BR,SETTLED
PAY-00000111,CLIENT-0207,ACC-000616,2026-02-23,INBOUND,ACH,EUR,231419.57,US,PENDING
PAY-00000112,CLIENT-0163,ACC-000493,2026-04-25,OUTBOUND,REAL_TIME_PAYMENT,INR,164544.32,MX,REJECTED
PAY-00000113,CLIENT-0231,ACC-000691,2024-05-04,OUTBOUND,ACH,USD,71265.73,IN,SETTLED
PAY-00000114,CLIENT-0329,ACC-000968,2025-05-01,OUTBOUND,BOOK_TRANSFER,USD,58900.58,GB,SETTLED
PAY-00000115,CLIENT-0387,ACC-001124,2025-11-21,OUTBOUND,BOOK_TRANSFER,USD,9830.27,BR,PENDING
PAY-00000116,CLIENT-0134,ACC-000398,2026-06-27,OUTBOUND,SWIFT,USD,122868.57,IN,SETTLED
PAY-00000117,CLIENT-0445,ACC-001311,2024-09-07,OUTBOUND,WIRE,USD,154808.11,CH,SETTLED
PAY-00000118,CLIENT-0274,ACC-000819,2025-03-24,OUTBOUND,BOOK_TRANSFER,USD,166414.69,CH,SETTLED
PAY-00000119,CLIENT-0243,ACC-000731,2026-04-16,OUTBOUND,WIRE,USD,168841.03,US,SETTLED
PAY-00000120,CLIENT-0001,ACC-000004,2024-05-16,OUTBOUND,REAL_TIME_PAYMENT,AED,97679.05,JP,SETTLED
PAY-00000121,CLIENT-0412,ACC-001212,2025-12-21,INBOUND,BOOK_TRANSFER,SGD,208.62,BR,SETTLED
PAY-00000122,CLIENT-0404,ACC-001187,2024-08-04,INBOUND,BOOK_TRANSFER,USD,140061.17,AE,SETTLED
PAY-00000123,CLIENT-0136,ACC-000407,2024-12-14,OUTBOUND,SWIFT,USD,232367.32,MX,SETTLED
PAY-00000124,CLIENT-0122,ACC-000359,2025-10-27,INBOUND,BOOK_TRANSFER,USD,155671.98,JP,SETTLED
PAY-00000125,CLIENT-0063,ACC-000174,2025-04-08,INBOUND,ACH,SGD,3552.80,JP,SETTLED
PAY-00000126,CLIENT-0326,ACC-000960,2026-07-15,INBOUND,ACH,USD,188809.54,IE,SETTLED
PAY-00000127,CLIENT-0124,ACC-000369,2025-12-19,INBOUND,REAL_TIME_PAYMENT,USD,17737.35,AE,SETTLED
PAY-00000128,CLIENT-0395,ACC-001153,2025-10-15,INBOUND,CARD,USD,61976.10,DE,PENDING
PAY-00000129,CLIENT-0344,ACC-001008,2026-07-19,OUTBOUND,REAL_TIME_PAYMENT,EUR,187500.76,IN,SETTLED
PAY-00000130,CLIENT-0012,ACC-000029,2026-04-14,OUTBOUND,ACH,USD,1946.32,FR,SETTLED
PAY-00000131,CLIENT-0120,ACC-000354,2026-02-05,OUTBOUND,BOOK_TRANSFER,USD,31161.09,MX,SETTLED
PAY-00000132,CLIENT-0418,ACC-001238,2026-07-03,OUTBOUND,SWIFT,USD,96421.57,BR,SETTLED
PAY-00000133,CLIENT-0234,ACC-000703,2026-03-14,OUTBOUND,BOOK_TRANSFER,EUR,179819.29,IN,SETTLED
PAY-00000134,CLIENT-0220,ACC-000657,2026-05-13,OUTBOUND,WIRE,USD,80838.13,AU,SETTLED
PAY-00000135,CLIENT-0427,ACC-001259,2024-12-09,OUTBOUND,FX_TRANSFER,JPY,91750.57,CH,PENDING
PAY-00000136,CLIENT-0099,ACC-000286,2025-06-05,INBOUND,SWIFT,USD,93468.10,FR,SETTLED
PAY-00000137,CLIENT-0356,ACC-001046,2024-01-29,INBOUND,CARD,SGD,44714.21,AU,SETTLED
PAY-00000138,CLIENT-0416,ACC-001230,2025-12-02,OUTBOUND,REAL_TIME_PAYMENT,CAD,4413.37,GB,SETTLED
PAY-00000139,CLIENT-0326,ACC-000958,2025-09-12,INBOUND,REAL_TIME_PAYMENT,USD,171119.74,BR,SETTLED
PAY-00000140,CLIENT-0041,ACC-000112,2024-04-24,INBOUND,REAL_TIME_PAYMENT,USD,13708.32,US,SETTLED
PAY-00000141,CLIENT-0227,ACC-000677,2026-03-26,OUTBOUND,REAL_TIME_PAYMENT,USD,13726.26,GB,SETTLED
PAY-00000142,CLIENT-0195,ACC-000577,2026-02-26,OUTBOUND,WIRE,USD,14410.24,FR,SETTLED
PAY-00000143,CLIENT-0480,ACC-001422,2026-02-13,INBOUND,CARD,USD,55.75,GB,SETTLED
PAY-00000144,CLIENT-0333,ACC-000976,2025-08-31,OUTBOUND,CARD,EUR,67578.75,DE,SETTLED
PAY-00000145,CLIENT-0483,ACC-001434,2024-06-24,OUTBOUND,CARD,CAD,13996.64,DE,SETTLED
PAY-00000146,CLIENT-0484,ACC-001438,2024-04-03,OUTBOUND,BOOK_TRANSFER,USD,178547.15,JP,SETTLED
PAY-00000147,CLIENT-0149,ACC-000448,2024-07-11,OUTBOUND,REAL_TIME_PAYMENT,EUR,110470.68,NL,SETTLED
PAY-00000148,CLIENT-0293,ACC-000867,2025-04-12,OUTBOUND,ACH,CAD,4672.39,FR,PENDING
PAY-00000149,CLIENT-0138,ACC-000411,2025-12-22,INBOUND,REAL_TIME_PAYMENT,MXN,117888.32,CH,SETTLED
PAY-00000150,CLIENT-0071,ACC-000198,2025-03-28,INBOUND,ACH,USD,220096.07,JP,SETTLED
PAY-00000151,CLIENT-0105,ACC-000300,2026-05-21,OUTBOUND,ACH,USD,7049.01,US,PENDING
PAY-00000152,CLIENT-0302,ACC-000889,2026-06-01,OUTBOUND,FX_TRANSFER,EUR,136498.95,US,SETTLED
PAY-00000153,CLIENT-0375,ACC-001088,2024-05-13,INBOUND,SEPA,USD,235525.83,CH,SETTLED
PAY-00000154,CLIENT-0006,ACC-000011,2024-05-27,INBOUND,REAL_TIME_PAYMENT,EUR,6700.19,AU,SETTLED
PAY-00000155,CLIENT-0376,ACC-001092,2026-03-03,INBOUND,SEPA,EUR,94731.70,CA,SETTLED
PAY-00000156,CLIENT-0254,ACC-000765,2026-06-07,OUTBOUND,FX_TRANSFER,USD,62119.33,CH,SETTLED
PAY-00000157,CLIENT-0268,ACC-000800,2025-02-19,OUTBOUND,SWIFT,EUR,133854.09,GB,SETTLED
PAY-00000158,CLIENT-0389,ACC-001130,2026-02-04,OUTBOUND,SEPA,USD,14722.98,AU,SETTLED
PAY-00000159,CLIENT-0068,ACC-000189,2026-02-01,OUTBOUND,FX_TRANSFER,MXN,15445.82,NL,SETTLED
PAY-00000160,CLIENT-0259,ACC-000777,2025-04-19,INBOUND,CARD,EUR,177844.39,AE,SETTLED
PAY-00000161,CLIENT-0072,ACC-000200,2026-05-23,INBOUND,FX_TRANSFER,GBP,247774.20,DE,SETTLED
PAY-00000162,CLIENT-0317,ACC-000931,2025-04-16,OUTBOUND,REAL_TIME_PAYMENT,USD,205726.54,GB,SETTLED
PAY-00000163,CLIENT-0446,ACC-001313,2026-01-28,INBOUND,SEPA,USD,67890.58,AE,SETTLED
PAY-00000164,CLIENT-0114,ACC-000331,2025-10-10,INBOUND,SWIFT,AUD,49499.81,AU,SETTLED
PAY-00000165,CLIENT-0229,ACC-000680,2026-01-24,INBOUND,REAL_TIME_PAYMENT,INR,40126.78,MX,SETTLED
PAY-00000166,CLIENT-0480,ACC-001422,2026-01-31,OUTBOUND,SEPA,USD,3193.08,CH,SETTLED
PAY-00000167,CLIENT-0348,ACC-001021,2025-12-25,INBOUND,BOOK_TRANSFER,USD,36677.77,GB,SETTLED
PAY-00000168,CLIENT-0137,ACC-000410,2025-07-24,OUTBOUND,FX_TRANSFER,JPY,133766.90,IN,PENDING
PAY-00000169,CLIENT-0166,ACC-000500,2025-01-15,INBOUND,FX_TRANSFER,USD,209229.07,SG,PENDING
PAY-00000170,CLIENT-0271,ACC-000810,2026-04-18,INBOUND,FX_TRANSFER,EUR,82145.20,US,SETTLED
PAY-00000171,CLIENT-0457,ACC-001352,2026-01-25,OUTBOUND,SWIFT,EUR,8660.23,JP,REJECTED
PAY-00000172,CLIENT-0249,ACC-000752,2025-10-28,OUTBOUND,WIRE,USD,142834.19,CH,PENDING
PAY-00000173,CLIENT-0143,ACC-000428,2026-07-21,OUTBOUND,BOOK_TRANSFER,EUR,236026.61,AE,SETTLED
PAY-00000174,CLIENT-0235,ACC-000706,2026-07-04,OUTBOUND,SWIFT,USD,178718.95,DE,SETTLED
PAY-00000175,CLIENT-0362,ACC-001058,2025-03-11,INBOUND,FX_TRANSFER,USD,117758.61,CH,SETTLED
PAY-00000176,CLIENT-0485,ACC-001439,2026-06-25,OUTBOUND,FX_TRANSFER,BRL,5091.31,SG,SETTLED
PAY-00000177,CLIENT-0021,ACC-000057,2024-09-26,INBOUND,WIRE,GBP,80984.98,US,SETTLED
PAY-00000178,CLIENT-0389,ACC-001129,2025-12-25,INBOUND,CARD,USD,8027.21,JP,SETTLED
PAY-00000179,CLIENT-0216,ACC-000646,2026-05-07,OUTBOUND,SWIFT,AUD,4975.80,GB,SETTLED
PAY-00000180,CLIENT-0426,ACC-001257,2025-10-07,OUTBOUND,WIRE,AUD,241672.43,AU,SETTLED
PAY-00000181,CLIENT-0218,ACC-000649,2026-06-11,OUTBOUND,REAL_TIME_PAYMENT,MXN,239383.88,BR,SETTLED
PAY-00000182,CLIENT-0400,ACC-001171,2024-07-12,OUTBOUND,BOOK_TRANSFER,USD,104637.64,FR,SETTLED
PAY-00000183,CLIENT-0438,ACC-001295,2024-02-05,OUTBOUND,CARD,USD,215815.34,MX,SETTLED
PAY-00000184,CLIENT-0356,ACC-001044,2026-06-13,OUTBOUND,ACH,USD,198471.21,GB,PENDING
PAY-00000185,CLIENT-0297,ACC-000877,2025-03-07,INBOUND,SWIFT,USD,44625.69,CA,SETTLED
PAY-00000186,CLIENT-0379,ACC-001104,2026-07-06,OUTBOUND,BOOK_TRANSFER,EUR,7348.41,BR,SETTLED
PAY-00000187,CLIENT-0500,ACC-001487,2024-01-21,INBOUND,ACH,MXN,4113.73,DE,SETTLED
PAY-00000188,CLIENT-0490,ACC-001464,2024-10-16,OUTBOUND,WIRE,BRL,3319.43,AE,SETTLED
PAY-00000189,CLIENT-0355,ACC-001043,2026-02-24,INBOUND,BOOK_TRANSFER,USD,36397.47,NL,SETTLED
PAY-00000190,CLIENT-0323,ACC-000949,2026-03-21,INBOUND,ACH,USD,109546.70,US,SETTLED
PAY-00000191,CLIENT-0456,ACC-001348,2025-03-29,OUTBOUND,FX_TRANSFER,USD,24687.65,SG,PENDING
PAY-00000192,CLIENT-0422,ACC-001246,2026-02-18,OUTBOUND,WIRE,EUR,28854.92,CH,PENDING
PAY-00000193,CLIENT-0239,ACC-000719,2025-02-28,OUTBOUND,SWIFT,USD,90043.70,CH,SETTLED
PAY-00000194,CLIENT-0305,ACC-000897,2026-05-16,OUTBOUND,CARD,CAD,13874.99,DE,SETTLED
PAY-00000195,CLIENT-0097,ACC-000277,2024-08-12,INBOUND,FX_TRANSFER,EUR,1813.40,US,SETTLED
PAY-00000196,CLIENT-0100,ACC-000288,2026-02-01,INBOUND,SWIFT,EUR,150314.20,CA,SETTLED
PAY-00000197,CLIENT-0427,ACC-001259,2026-03-12,INBOUND,WIRE,JPY,99475.70,JP,SETTLED
PAY-00000198,CLIENT-0198,ACC-000593,2025-11-16,OUTBOUND,REAL_TIME_PAYMENT,GBP,4240.40,AU,SETTLED
PAY-00000199,CLIENT-0109,ACC-000315,2026-03-12,INBOUND,SWIFT,USD,118380.02,MX,SETTLED
PAY-00000200,CLIENT-0092,ACC-000261,2025-11-17,OUTBOUND,SWIFT,AUD,186650.79,BR,SETTLED
PAY-00000201,CLIENT-0249,ACC-000752,2024-10-01,INBOUND,SEPA,USD,79971.11,FR,SETTLED
PAY-00000202,CLIENT-0175,ACC-000529,2026-07-19,INBOUND,WIRE,USD,181472.74,AU,SETTLED
PAY-00000203,CLIENT-0168,ACC-000510,2025-07-15,INBOUND,SWIFT,EUR,3612.99,SG,SETTLED
PAY-00000204,CLIENT-0186,ACC-000555,2025-08-05,INBOUND,ACH,USD,48145.73,DE,REJECTED
PAY-00000205,CLIENT-0018,ACC-000047,2026-05-02,OUTBOUND,SWIFT,SGD,160896.92,MX,SETTLED
PAY-00000206,CLIENT-0035,ACC-000094,2026-05-29,INBOUND,ACH,EUR,110867.71,BR,PENDING
PAY-00000207,CLIENT-0477,ACC-001412,2026-01-16,INBOUND,ACH,USD,8354.24,MX,SETTLED
PAY-00000208,CLIENT-0012,ACC-000028,2026-05-23,INBOUND,CARD,JPY,3063.39,GB,SETTLED
PAY-00000209,CLIENT-0221,ACC-000660,2025-08-11,OUTBOUND,ACH,USD,243402.42,IE,SETTLED
PAY-00000210,CLIENT-0127,ACC-000377,2026-03-15,OUTBOUND,ACH,USD,49454.92,BR,SETTLED
PAY-00000211,CLIENT-0125,ACC-000372,2026-05-18,INBOUND,CARD,USD,237924.19,DE,SETTLED
PAY-00000212,CLIENT-0168,ACC-000510,2026-02-21,INBOUND,CARD,EUR,9102.63,US,SETTLED
PAY-00000213,CLIENT-0331,ACC-000971,2026-06-07,INBOUND,WIRE,USD,2505.55,US,SETTLED
PAY-00000214,CLIENT-0498,ACC-001484,2025-01-04,INBOUND,CARD,USD,214444.71,GB,SETTLED
PAY-00000215,CLIENT-0268,ACC-000799,2026-02-21,INBOUND,WIRE,EUR,224962.25,SG,SETTLED
PAY-00000216,CLIENT-0275,ACC-000820,2026-05-22,OUTBOUND,REAL_TIME_PAYMENT,USD,120958.38,BR,PENDING
PAY-00000217,CLIENT-0046,ACC-000124,2026-05-05,INBOUND,SEPA,USD,10921.53,JP,SETTLED
PAY-00000218,CLIENT-0481,ACC-001427,2024-05-24,INBOUND,CARD,USD,37831.56,AE,RETURNED
PAY-00000219,CLIENT-0366,ACC-001068,2025-09-07,INBOUND,REAL_TIME_PAYMENT,USD,159465.00,AU,SETTLED
PAY-00000220,CLIENT-0106,ACC-000301,2026-02-11,INBOUND,ACH,USD,118371.48,AE,SETTLED
