transaction_id,account_id,client_id,transaction_timestamp,transaction_type,debit_credit,amount,currency,balance_after_transaction,available_balance,ledger_balance,status,updated_at
L017,ACC-000018,CLIENT-0010,2026-08-10T07:17:00+00:00,INTERNAL_TRANSFER,D,149.95,CAD,16730.72,16730.72,16730.72,POSTED,2026-08-10T07:17:01+00:00
L018,ACC-000019,CLIENT-0010,2026-08-10T07:18:00+00:00,INTEREST,C,157.30,CAD,1806795.28,1806795.28,1806795.28,POSTED,2026-08-10T07:18:01+00:00
L019,ACC-000020,CLIENT-0010,2026-08-10T07:19:00+00:00,SALARY_DEPOSIT,C,164.65,GBP,705370.49,705370.49,705370.49,POSTED,2026-08-10T07:19:01+00:00
L020,ACC-000021,CLIENT-0010,2026-08-10T07:20:00+00:00,WIRE_IN,C,172.00,CAD,1438670.54,1438670.54,1438670.54,POSTED,2026-08-10T07:20:01+00:00
L021,ACC-000022,CLIENT-0010,2026-08-10T07:21:00+00:00,WIRE_OUT,D,179.35,USD,215011.69,215011.69,215011.69,POSTED,2026-08-10T07:21:01+00:00
L022,ACC-000023,CLIENT-0011,2026-08-10T07:22:00+00:00,ACH_CREDIT,C,186.70,USD,28983.28,28983.28,28983.28,PENDING,2026-08-10T07:22:01+00:00
L023,ACC-000024,CLIENT-0011,2026-08-10T07:23:00+00:00,ACH_DEBIT,D,194.05,USD,150907.31,150907.31,150907.31,POSTED,2026-08-10T07:23:01+00:00
L024,ACC-000025,CLIENT-0011,2026-08-10T07:24:00+00:00,ATM_WITHDRAWAL,D,201.40,USD,23103.95,23103.95,23103.95,POSTED,2026-08-10T07:24:01+00:00
L025,ACC-000026,CLIENT-0012,2026-08-10T07:25:00+00:00,BANK_FEE,D,208.75,JPY,109172.80,109172.80,109172.80,POSTED,2026-08-10T07:25:01+00:00
L026,ACC-000027,CLIENT-0012,2026-08-10T07:26:00+00:00,INTERNAL_TRANSFER,D,216.10,CAD,30763.61,30763.61,30763.61,POSTED,2026-08-10T07:26:01+00:00
L027,ACC-000028,CLIENT-0012,2026-08-10T07:27:00+00:00,INTEREST,C,223.45,JPY,84201.29,84201.29,84201.29,POSTED,2026-08-10T07:27:01+00:00
L028,ACC-000029,CLIENT-0012,2026-08-10T07:28:00+00:00,SALARY_DEPOSIT,C,230.80,USD,20176.22,20176.22,20176.22,POSTED,2026-08-10T07:28:01+00:00
L029,ACC-000030,CLIENT-0012,2026-08-10T07:29:00+00:00,WIRE_IN,C,238.15,EUR,112434.23,112434.23,112434.23,POSTED,2026-08-10T07:29:01+00:00
L030,ACC-000031,CLIENT-0013,2026-08-10T07:30:00+00:00,WIRE_OUT,D,245.50,USD,1699968.57,1699968.57,1699968.57,POSTED,2026-08-10T07:30:01+00:00
L031,ACC-000032,CLIENT-0013,2026-08-10T07:31:00+00:00,ACH_CREDIT,C,252.85,USD,1465414.50,1465414.50,1465414.50,POSTED,2026-08-10T07:31:01+00:00
L032,ACC-000033,CLIENT-0014,2026-08-10T07:32:00+00:00,ACH_DEBIT,D,260.20,USD,2318674.37,2318674.37,2318674.37,PENDING,2026-08-10T07:32:01+00:00
L033,ACC-000034,CLIENT-0015,2026-08-10T07:33:00+00:00,ATM_WITHDRAWAL,D,267.55,USD,1566230.69,1566230.69,1566230.69,POSTED,2026-08-10T07:33:01+00:00
L034,ACC-000035,CLIENT-0015,2026-08-10T07:34:00+00:00,BANK_FEE,D,274.90,USD,1599362.09,1599362.09,1599362.09,POSTED,2026-08-10T07:34:01+00:00
L035,ACC-000036,CLIENT-0015,2026-08-10T07:35:00+00:00,INTERNAL_TRANSFER,D,282.25,USD,1669194.32,1669194.32,1669194.32,POSTED,2026-08-10T07:35:01+00:00
L036,ACC-000037,CLIENT-0015,2026-08-10T07:36:00+00:00,INTEREST,C,289.60,EUR,699338.96,699338.96,699338.96,POSTED,2026-08-10T07:36:01+00:00
L037,ACC-000038,CLIENT-0015,2026-08-10T07:37:00+00:00,SALARY_DEPOSIT,C,296.95,USD,872085.55,872085.55,872085.55,POSTED,2026-08-10T07:37:01+00:00
L038,ACC-000039,CLIENT-0016,2026-08-10T07:38:00+00:00,WIRE_IN,C,304.30,USD,142383.41,142383.41,142383.41,POSTED,2026-08-10T07:38:01+00:00
L039,ACC-000040,CLIENT-0016,2026-08-10T07:39:00+00:00,WIRE_OUT,D,311.65,USD,173845.90,173845.90,173845.90,POSTED,2026-08-10T07:39:01+00:00
L040,ACC-000041,CLIENT-0016,2026-08-10T07:40:00+00:00,ACH_CREDIT,C,319.00,USD,97306.10,97306.10,97306.10,POSTED,2026-08-10T07:40:01+00:00
L041,ACC-000042,CLIENT-0016,2026-08-10T07:41:00+00:00,ACH_DEBIT,D,326.35,EUR,135858.46,135858.46,135858.46,POSTED,2026-08-10T07:41:01+00:00
L042,ACC-000043,CLIENT-0017,2026-08-10T07:42:00+00:00,ATM_WITHDRAWAL,D,333.70,CAD,95582.67,95582.67,95582.67,PENDING,2026-08-10T07:42:01+00:00
L043,ACC-000044,CLIENT-0018,2026-08-10T07:43:00+00:00,BANK_FEE,D,341.05,USD,280033.81,280033.81,280033.81,POSTED,2026-08-10T07:43:01+00:00
L044,ACC-000045,CLIENT-0018,2026-08-10T07:44:00+00:00,INTERNAL_TRANSFER,D,348.40,SGD,1714978.89,1714978.89,1714978.89,POSTED,2026-08-10T07:44:01+00:00
L045,ACC-000046,CLIENT-0018,2026-08-10T07:45:00+00:00,INTEREST,C,355.75,SGD,350183.85,350183.85,350183.85,POSTED,2026-08-10T07:45:01+00:00
L046,ACC-000047,CLIENT-0018,2026-08-10T07:46:00+00:00,SALARY_DEPOSIT,C,363.10,SGD,2271877.70,2271877.70,2271877.70,POSTED,2026-08-10T07:46:01+00:00
L047,ACC-000048,CLIENT-0018,2026-08-10T07:47:00+00:00,WIRE_IN,C,370.45,MXN,770826.80,770826.80,770826.80,POSTED,2026-08-10T07:47:01+00:00
L048,ACC-000049,CLIENT-0019,2026-08-10T07:48:00+00:00,WIRE_OUT,D,377.80,USD,157653.23,157653.23,157653.23,POSTED,2026-08-10T07:48:01+00:00
L049,ACC-000050,CLIENT-0019,2026-08-10T07:49:00+00:00,ACH_CREDIT,C,385.15,USD,33453.21,33453.21,33453.21,POSTED,2026-08-10T07:49:01+00:00
L050,ACC-000051,CLIENT-0019,2026-08-10T07:50:00+00:00,ACH_DEBIT,D,392.50,BRL,115351.34,115351.34,115351.34,POSTED,2026-08-10T07:50:01+00:00
L051,ACC-000052,CLIENT-0019,2026-08-10T07:51:00+00:00,ATM_WITHDRAWAL,D,399.85,USD,95655.30,95655.30,95655.30,POSTED,2026-08-10T07:51:01+00:00
L052,ACC-000053,CLIENT-0019,2026-08-10T07:52:00+00:00,BANK_FEE,D,407.20,BRL,103351.47,103351.47,103351.47,PENDING,2026-08-10T07:52:01+00:00
L053,ACC-000054,CLIENT-0020,2026-08-10T07:53:00+00:00,INTERNAL_TRANSFER,D,414.55,USD,2009677.08,2009677.08,2009677.08,POSTED,2026-08-10T07:53:01+00:00
L054,ACC-000055,CLIENT-0020,2026-08-10T07:54:00+00:00,INTEREST,C,421.90,USD,1397420.64,1397420.64,1397420.64,POSTED,2026-08-10T07:54:01+00:00
L055,ACC-000056,CLIENT-0020,2026-08-10T07:55:00+00:00,SALARY_DEPOSIT,C,429.25,USD,1117129.22,1117129.22,1117129.22,POSTED,2026-08-10T07:55:01+00:00
L056,ACC-000057,CLIENT-0021,2026-08-10T07:56:00+00:00,WIRE_IN,C,436.60,GBP,190636.89,190636.89,190636.89,POSTED,2026-08-10T07:56:01+00:00
L057,ACC-000058,CLIENT-0021,2026-08-10T07:57:00+00:00,WIRE_OUT,D,443.95,GBP,2011384.69,2011384.69,2011384.69,POSTED,2026-08-10T07:57:01+00:00
L058,ACC-000059,CLIENT-0021,2026-08-10T07:58:00+00:00,ACH_CREDIT,C,451.30,USD,477370.36,477370.36,477370.36,POSTED,2026-08-10T07:58:01+00:00
L059,ACC-000060,CLIENT-0022,2026-08-10T07:59:00+00:00,ACH_DEBIT,D,458.65,EUR,11757.06,11757.06,11757.06,POSTED,2026-08-10T07:59:01+00:00
L060,ACC-000061,CLIENT-0023,2026-08-10T08:00:00+00:00,ATM_WITHDRAWAL,D,466.00,USD,978243.33,978243.33,978243.33,POSTED,2026-08-10T08:00:01+00:00
L061,ACC-000062,CLIENT-0024,2026-08-10T08:01:00+00:00,BANK_FEE,D,473.35,BRL,147382.02,147382.02,147382.02,POSTED,2026-08-10T08:01:01+00:00
L062,ACC-000063,CLIENT-0024,2026-08-10T08:02:00+00:00,INTERNAL_TRANSFER,D,480.70,USD,78956.94,78956.94,78956.94,PENDING,2026-08-10T08:02:01+00:00
L063,ACC-000064,CLIENT-0024,2026-08-10T08:03:00+00:00,INTEREST,C,488.05,BRL,121748.51,121748.51,121748.51,POSTED,2026-08-10T08:03:01+00:00
L064,ACC-000065,CLIENT-0024,2026-08-10T08:04:00+00:00,SALARY_DEPOSIT,C,495.40,GBP,66959.08,66959.08,66959.08,POSTED,2026-08-10T08:04:01+00:00
L065,ACC-000066,CLIENT-0025,2026-08-10T08:05:00+00:00,WIRE_IN,C,502.75,USD,1569310.54,1569310.54,1569310.54,POSTED,2026-08-10T08:05:01+00:00
L066,ACC-000067,CLIENT-0025,2026-08-10T08:06:00+00:00,WIRE_OUT,D,510.10,USD,2279003.92,2279003.92,2279003.92,POSTED,2026-08-10T08:06:01+00:00
L067,ACC-000068,CLIENT-0025,2026-08-10T08:07:00+00:00,ACH_CREDIT,C,517.45,JPY,2313398.36,2313398.36,2313398.36,POSTED,2026-08-10T08:07:01+00:00
L068,ACC-000069,CLIENT-0025,2026-08-10T08:08:00+00:00,ACH_DEBIT,D,524.80,USD,1372990.92,1372990.92,1372990.92,POSTED,2026-08-10T08:08:01+00:00
L069,ACC-000070,CLIENT-0026,2026-08-10T08:09:00+00:00,ATM_WITHDRAWAL,D,532.15,USD,529274.80,529274.80,529274.80,POSTED,2026-08-10T08:09:01+00:00
L070,ACC-000071,CLIENT-0026,2026-08-10T08:10:00+00:00,BANK_FEE,D,539.50,EUR,1836986.93,1836986.93,1836986.93,POSTED,2026-08-10T08:10:01+00:00
L071,ACC-000072,CLIENT-0027,2026-08-10T08:11:00+00:00,INTERNAL_TRANSFER,D,546.85,USD,1805403.63,1805403.63,1805403.63,POSTED,2026-08-10T08:11:01+00:00
L072,ACC-000073,CLIENT-0027,2026-08-10T08:12:00+00:00,INTEREST,C,554.20,USD,246487.61,246487.61,246487.61,PENDING,2026-08-10T08:12:01+00:00
L073,ACC-000074,CLIENT-0027,2026-08-10T08:13:00+00:00,SALARY_DEPOSIT,C,561.55,USD,846161.22,846161.22,846161.22,POSTED,2026-08-10T08:13:01+00:00
L074,ACC-000075,CLIENT-0028,2026-08-10T08:14:00+00:00,WIRE_IN,C,568.90,EUR,181238.47,181238.47,181238.47,POSTED,2026-08-10T08:14:01+00:00
L075,ACC-000076,CLIENT-0028,2026-08-10T08:15:00+00:00,WIRE_OUT,D,576.25,SGD,2188076.63,2188076.63,2188076.63,POSTED,2026-08-10T08:15:01+00:00
L076,ACC-000077,CLIENT-0028,2026-08-10T08:16:00+00:00,ACH_CREDIT,C,583.60,USD,340076.83,340076.83,340076.83,POSTED,2026-08-10T08:16:01+00:00
L077,ACC-000078,CLIENT-0029,2026-08-10T08:17:00+00:00,ACH_DEBIT,D,590.95,USD,1729448.92,1729448.92,1729448.92,POSTED,2026-08-10T08:17:01+00:00
L078,ACC-000079,CLIENT-0030,2026-08-10T08:18:00+00:00,ATM_WITHDRAWAL,D,598.30,EUR,1070162.18,1070162.18,1070162.18,POSTED,2026-08-10T08:18:01+00:00
L079,ACC-000080,CLIENT-0030,2026-08-10T08:19:00+00:00,BANK_FEE,D,605.65,EUR,1815480.26,1815480.26,1815480.26,POSTED,2026-08-10T08:19:01+00:00
L080,ACC-000081,CLIENT-0030,2026-08-10T08:20:00+00:00,INTERNAL_TRANSFER,D,613.00,EUR,1669757.34,1669757.34,1669757.34,POSTED,2026-08-10T08:20:01+00:00
L081,ACC-000082,CLIENT-0030,2026-08-10T08:21:00+00:00,INTEREST,C,620.35,EUR,1241830.29,1241830.29,1241830.29,POSTED,2026-08-10T08:21:01+00:00
L082,ACC-000083,CLIENT-0031,2026-08-10T08:22:00+00:00,SALARY_DEPOSIT,C,627.70,USD,1520808.93,1520808.93,1520808.93,PENDING,2026-08-10T08:22:01+00:00
L083,ACC-000084,CLIENT-0031,2026-08-10T08:23:00+00:00,WIRE_IN,C,635.05,EUR,857034.51,857034.51,857034.51,POSTED,2026-08-10T08:23:01+00:00
L084,ACC-000085,CLIENT-0031,2026-08-10T08:24:00+00:00,WIRE_OUT,D,642.40,EUR,827814.78,827814.78,827814.78,POSTED,2026-08-10T08:24:01+00:00
L085,ACC-000086,CLIENT-0031,2026-08-10T08:25:00+00:00,ACH_CREDIT,C,649.75,AED,984538.22,984538.22,984538.22,POSTED,2026-08-10T08:25:01+00:00
L086,ACC-000087,CLIENT-0031,2026-08-10T08:26:00+00:00,ACH_DEBIT,D,657.10,EUR,2308815.40,2308815.40,2308815.40,POSTED,2026-08-10T08:26:01+00:00
L087,ACC-000088,CLIENT-0032,2026-08-10T08:27:00+00:00,ATM_WITHDRAWAL,D,664.45,USD,878550.95,878550.95,878550.95,POSTED,2026-08-10T08:27:01+00:00
L088,ACC-000089,CLIENT-0033,2026-08-10T08:28:00+00:00,BANK_FEE,D,671.80,INR,441348.53,441348.53,441348.53,POSTED,2026-08-10T08:28:01+00:00
L089,ACC-000090,CLIENT-0034,2026-08-10T08:29:00+00:00,INTERNAL_TRANSFER,D,679.15,USD,1527350.75,1527350.75,1527350.75,POSTED,2026-08-10T08:29:01+00:00
L090,ACC-000091,CLIENT-0034,2026-08-10T08:30:00+00:00,INTEREST,C,686.50,USD,31028.66,31028.66,31028.66,POSTED,2026-08-10T08:30:01+00:00
L091,ACC-000092,CLIENT-0034,2026-08-10T08:31:00+00:00,SALARY_DEPOSIT,C,693.85,USD,1347116.59,1347116.59,1347116.59,POSTED,2026-08-10T08:31:01+00:00
L092,ACC-000096,CLIENT-0036,2026-08-10T08:32:00+00:00,WIRE_IN,C,701.20,USD,152152.98,152152.98,152152.98,PENDING,2026-08-10T08:32:01+00:00
L093,ACC-000097,CLIENT-0037,2026-08-10T08:33:00+00:00,WIRE_OUT,D,708.55,USD,238126.61,238126.61,238126.61,POSTED,2026-08-10T08:33:01+00:00
L094,ACC-000098,CLIENT-0037,2026-08-10T08:34:00+00:00,ACH_CREDIT,C,715.90,USD,12822.28,12822.28,12822.28,POSTED,2026-08-10T08:34:01+00:00
L095,ACC-000099,CLIENT-0037,2026-08-10T08:35:00+00:00,ACH_DEBIT,D,723.25,USD,939042.47,939042.47,939042.47,POSTED,2026-08-10T08:35:01+00:00
L096,ACC-000100,CLIENT-0037,2026-08-10T08:36:00+00:00,ATM_WITHDRAWAL,D,730.60,EUR,1617531.47,1617531.47,1617531.47,POSTED,2026-08-10T08:36:01+00:00
L097,ACC-000101,CLIENT-0038,2026-08-10T08:37:00+00:00,BANK_FEE,D,737.95,USD,1330299.40,1330299.40,1330299.40,POSTED,2026-08-10T08:37:01+00:00
L098,ACC-000102,CLIENT-0038,2026-08-10T08:38:00+00:00,INTERNAL_TRANSFER,D,745.30,USD,2098650.41,2098650.41,2098650.41,POSTED,2026-08-10T08:38:01+00:00
L099,ACC-000103,CLIENT-0038,2026-08-10T08:39:00+00:00,INTEREST,C,752.65,USD,345925.71,345925.71,345925.71,POSTED,2026-08-10T08:39:01+00:00
L100,ACC-000104,CLIENT-0038,2026-08-10T08:40:00+00:00,SALARY_DEPOSIT,C,760.00,USD,1301742.88,1301742.88,1301742.88,POSTED,2026-08-10T08:40:01+00:00
